GEOID,GEOID11,16+_emp_rate,16+_uemp_rate,uemp_rate,med_hhinc,pop,pct_white,pct_black,pct_asian,pct_other,tol_hu,med_value,pct_noins,pct_poverty,city,metro,med_rent
1400000US06037239320,6037239320,56.1,4,6.6,42203,4179,31.7,13.8,0.6,53.9,90,362.2,20,34.6,,,1234
1400000US06037239330,6037239330,54.8,5.4,9,34741,2689,43.8,7.6,0,48.6,80,341.8,26,36,,,1143
1400000US06037239501,6037239501,56.3,6.5,10.4,40388,3622,39.4,20.8,1,38.8,100,296,20.8,21.9,,,978
1400000US06037239502,6037239502,51.3,7.3,12.4,34605,3726,25.1,21.9,0,53,100,337.5,19.8,31.4,,,1129
1400000US06037239601,6037239601,62,3.3,5,36029,3629,29,18.4,0.2,52.4,100,338.6,27,32.1,,,1163
1400000US06037239602,6037239602,51.3,5.7,10,36425,3805,33.7,20.2,0.4,45.7,100,323.2,16.8,34,,,1190
1400000US06037239701,6037239701,57.2,3.7,6.1,33414,5015,32.5,18.3,0,49.2,90,316.2,17.3,43.5,,,1186
1400000US06037239702,6037239702,51.7,4.6,8.1,32037,4096,21.9,30.8,0,47.3,100,324.6,18.9,29.7,,,1145
1400000US06037239801,6037239801,59.2,6.7,10.2,42963,3586,38.6,11.6,0.1,49.7,100,299.6,20.4,33,,,1269
1400000US06037239802,6037239802,57.7,5.7,9.1,38513,5623,29.5,29.2,1.4,39.8,100,349,11.7,31.3,,,1168
1400000US06037240010,6037240010,45.8,10,17.9,30710,3697,26.7,24,0,49.3,100,336,18.5,36.8,,,1042
1400000US06037240020,6037240020,56.6,8.5,13,39839,5232,36.3,27.6,0.2,35.9,90,326.2,16.9,30.5,,,1368
1400000US06037240200,6037240200,50.9,9.4,15.6,32661,5311,28.6,24.3,1.5,45.5,100,317.4,19,27.8,,,1155
1400000US06037240300,6037240300,58.2,3.8,6.1,24368,5803,42.7,28,0.6,28.7,100,344.5,12.1,35.2,,,1022
1400000US06037240401,6037240401,55.5,3.4,5.8,37115,6184,33.7,26.3,0.6,39.5,90,364.6,13.3,36.1,,,1076
1400000US06037240402,6037240402,52.9,5.6,9.6,37938,4107,30.8,39.1,0,30.1,80,315.8,10,33.9,,,1141
1400000US06037240500,6037240500,52.7,6.9,11.6,36090,7466,32.7,26,0,41.3,100,303.4,18.8,29.4,,,1234
1400000US06037240600,6037240600,54.7,11.2,17,37759,6325,33.9,28.8,0.3,36.9,100,260.5,17.3,28.4,,,1423
1400000US06037240700,6037240700,57.5,3.9,6.3,43796,6367,41.4,29.5,1.1,28.1,150,305.5,14.5,14.5,,,1345
